,model,n,method,split,recall_macro,precision_macro,f1_macro,recall_c1,precision_c1,f1_c1
0,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test,0.8072375655174255,0.8884465098381042,0.8438286185264587,0.9403968453407288,0.984070360660553,0.9617380499839783
1,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,mix,test_ext,0.782401442527771,0.708096444606781,0.7379233241081238,0.8162124752998352,0.8528685569763184,0.834138035774231
2,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test,0.8067517280578613,0.8900225162506104,0.8441504836082458,0.9399424195289612,0.9846873879432678,0.9617947936058044
3,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,active,test_ext,0.7820743322372437,0.709467351436615,0.7385833859443665,0.8148297667503357,0.8547168374061584,0.8342968225479126
4,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test,0.807938814163208,0.8870168924331665,0.8437164425849915,0.9406998157501221,0.9827517867088318,0.9612661004066467
5,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,150,random,test_ext,0.7843713760375977,0.7074977159500122,0.7384027242660522,0.8173647522926331,0.8511008620262146,0.833891749382019
6,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test,0.8075436353683472,0.885849118232727,0.8429259657859802,0.941684365272522,0.9817607402801514,0.9613050222396851
7,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,mix,test_ext,0.7938257455825806,0.7069225907325745,0.742647111415863,0.838575005531311,0.8448554277420044,0.841703474521637
8,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test,0.8072269558906555,0.8867323398590088,0.8430994749069214,0.9411541819572449,0.9825268983840942,0.9613956212997437
9,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,active,test_ext,0.7922524809837341,0.707463264465332,0.7422641515731812,0.8374313712120056,0.846678614616394,0.8420296311378479
10,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test,0.8101973533630371,0.8852842450141907,0.8443763852119446,0.941684365272522,0.9815282821655273,0.9611935615539551
11,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,250,random,test_ext,0.794185221195221,0.7060866355895996,0.7422224283218384,0.838575005531311,0.8447580933570862,0.8416551947593689
12,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test,0.8092420697212219,0.883365273475647,0.8429372310638428,0.9429718255996704,0.980085015296936,0.9611703157424927
13,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,mix,test_ext,0.7956950068473816,0.6951004266738892,0.7366272211074829,0.8406775593757629,0.8230152726173401,0.8317526578903198
14,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test,0.8079374432563782,0.885589063167572,0.8430242538452148,0.9425173997879028,0.9813894629478455,0.9615607261657715
15,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,active,test_ext,0.7952097058296204,0.69722580909729,0.7378048896789551,0.8396474719047546,0.8239456415176392,0.8317224383354187
16,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test,0.8112099170684814,0.885972261428833,0.8451907634735107,0.9427446126937866,0.9803118705749512,0.9611613154411316
17,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,350,random,test_ext,0.7960847616195679,0.6945509910583496,0.736315906047821,0.8397619128227234,0.823780357837677,0.8316943645477295
18,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test,0.8096288442611694,0.8829192519187927,0.8429319858551025,0.943804919719696,0.9781789779663086,0.9606845378875732
19,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,mix,test_ext,0.8047056198120117,0.68914395570755,0.7366836071014404,0.8503011465072632,0.8049266338348389,0.8269919753074646
20,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test,0.809544026851654,0.880747377872467,0.8420237302780151,0.9442592859268188,0.9770393967628479,0.9603697061538696
21,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,active,test_ext,0.8044172525405884,0.6881088614463806,0.7359247207641602,0.8521723747253418,0.803097128868103,0.8269072771072388
22,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,random,test,0.8115521669387817,0.8809777498245239,0.8433160185813904,0.943426251411438,0.9782472252845764,0.9605212211608887
23,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,450,random,test_ext,0.806252121925354,0.6878095865249634,0.7362102270126343,0.8497748374938965,0.8056325316429138,0.8271151781082153
24,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,mix,test,0.8107876181602478,0.8827865719795227,0.8436022400856018,0.9436534643173218,0.9780219793319702,0.9605304002761841
25,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,mix,test_ext,0.7977900505065918,0.6861908435821533,0.7315654754638672,0.8432503938674927,0.8130320906639099,0.8278656005859375
26,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,active,test,0.8090786337852478,0.8831826448440552,0.8427285552024841,0.9438806176185608,0.977950394153595,0.9606135487556458
27,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,active,test_ext,0.7976921200752258,0.6878777742385864,0.732681155204773,0.8443470001220703,0.8137723803520203,0.8287777900695801
28,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,random,test,0.8129092454910278,0.8792397975921631,0.8433809876441956,0.9435777068138123,0.9783274531364441,0.9606384038925171
29,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,550,random,test_ext,0.8018866777420044,0.6843389272689819,0.7316637635231018,0.8431926965713501,0.813610315322876,0.8281373977661133
30,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,mix,test,0.8107815980911255,0.8826237320899963,0.8435961008071899,0.9433504939079285,0.9782454967498779,0.9604811668395996
31,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,mix,test_ext,0.8014359474182129,0.6928313970565796,0.7369543313980103,0.8397546410560608,0.8155345320701599,0.8274673819541931
32,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,active,test,0.8091691732406616,0.8872396945953369,0.8442789316177368,0.9442592859268188,0.9770393967628479,0.9603697061538696
33,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,active,test_ext,0.8025351166725159,0.6945794224739075,0.7387509346008301,0.8437106013298035,0.8143434524536133,0.828766942024231
34,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,random,test,0.8142378330230713,0.8758256435394287,0.8427116274833679,0.9444108009338379,0.9768899083137512,0.9603758454322815
35,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,650,random,test_ext,0.8079409599304199,0.6893691420555115,0.7370918989181519,0.8423345685005188,0.8132853507995605,0.8275551199913025
36,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,mix,test,0.8105235695838928,0.8806491494178772,0.8423771262168884,0.9460012316703796,0.9742609858512878,0.9599231481552124
37,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,mix,test_ext,0.8026716709136963,0.6773293018341064,0.7278720140457153,0.8389648199081421,0.7816851735115051,0.8093127608299255
38,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,active,test,0.8096545338630676,0.8863691687583923,0.8442087769508362,0.9447137117385864,0.9762855172157288,0.9602401852607727
39,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,active,test_ext,0.8003836870193481,0.6806845664978027,0.7292134165763855,0.8366966843605042,0.7855738997459412,0.810329794883728
40,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,random,test,0.8167943954467773,0.8731549382209778,0.8430733680725098,0.9450923800468445,0.9753028750419617,0.9599599838256836
41,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,750,random,test_ext,0.8078420758247375,0.6730870008468628,0.7263437509536743,0.8345448970794678,0.7824000716209412,0.8076316714286804
42,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,mix,test,0.8116902112960815,0.8837934732437134,0.8443195223808289,0.9453195929527283,0.9762240052223206,0.9605233073234558
43,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,mix,test_ext,0.7946853041648865,0.6752846240997314,0.7230868935585022,0.8282846212387085,0.786279559135437,0.806735634803772
44,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,active,test,0.8097594380378723,0.8862453699111938,0.8441933393478394,0.945168137550354,0.9750000238418579,0.9598523378372192
45,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,active,test_ext,0.792819619178772,0.6763676404953003,0.7233045697212219,0.8294587135314941,0.785817563533783,0.8070486187934875
46,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,random,test,0.8169907331466675,0.8742600083351135,0.843662679195404,0.9450923800468445,0.976371169090271,0.9604771733283997
47,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,850,random,test_ext,0.7991951704025269,0.6674048900604248,0.7187982797622681,0.824468731880188,0.7839241027832031,0.8036853671073914
48,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,mix,test,0.8127187490463257,0.8796811699867249,0.8431576490402222,0.946531355381012,0.9723799824714661,0.9592815637588501
49,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,mix,test_ext,0.7953239679336548,0.6631597280502319,0.71478271484375,0.8247674703598022,0.7695260643959045,0.7961897253990173
50,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,active,test,0.8103261590003967,0.8860863447189331,0.8444370031356812,0.9459254741668701,0.9749433994293213,0.9602152705192566
51,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,active,test_ext,0.7909068465232849,0.6698411703109741,0.7179477214813232,0.8233365416526794,0.7758737206459045,0.7989007830619812
52,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,random,test,0.8180579543113708,0.8715091347694397,0.8430719971656799,0.9456225633621216,0.9753163456916809,0.9602399468421936
53,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,950,random,test_ext,0.7994651794433594,0.6583013534545898,0.7121654748916626,0.8169568181037903,0.7719871401786804,0.7938356399536133
54,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,1050,mix,test,0.8106935024261475,0.8864022493362427,0.844902515411377,0.9442592859268188,0.979572594165802,0.9615918397903442
55,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,1050,mix,test_ext,0.784247875213623,0.6779950857162476,0.7202472686767578,0.8018314838409424,0.7750958800315857,0.7882370352745056
56,256_hidden_dim_6000_vocab_size_1_layer_lstm.pt,1050,active,test,0.8099619746208191,0.8884140849113464,0.8452247381210327,0.945168137550354,0.9767550826072693,0.9607020616531372
57,256_hidden_dim_6000_voca
